,Abstract,Title,Generated Title
592,"Political speeches and debates play an important role in shaping the images
of politicians, and the public often relies on media outlets to select bits of
political communication from a large pool of utterances. It is an important
research question to understand what factors impact this selection process.
  To quantitatively explore the selection process, we build a three- decade
dataset of presidential debate transcripts and post-debate coverage. We first
examine the effect of wording and propose a binary classification framework
that controls for both the speaker and the debate situation. We find that
crowdworkers can only achieve an accuracy of 60% in this task, indicating that
media choices are not entirely obvious. Our classifiers outperform crowdworkers
on average, mainly in primary debates. We also compare important factors from
crowdworkers' free-form explanations with those from data-driven methods and
find interesting differences. Few crowdworkers mentioned that ""context
matters"", whereas our data show that well-quoted sentences are more distinct
from the previous utterance by the same speaker than less-quoted sentences.
Finally, we examine the aggregate effect of media preferences towards different
wordings to understand the extent of fragmentation among media outlets. By
analyzing a bipartite graph built from quoting behavior in our data, we observe
a decreasing trend in bipartisan coverage.","""You are no Jack Kennedy"": On Media Selection of Highlights from
  Presidential Debates",model show model networks proposed <unk> predictive for
593,"In order to study the application of artificial intelligence (AI) to dental
imaging, we applied AI technology to classify a set of panoramic radiographs
using (a) a convolutional neural network (CNN) which is a form of an artificial
neural network (ANN), (b) representative image cognition algorithms that
implement scale-invariant feature transform (SIFT), and (c) histogram of
oriented gradients (HOG).",Machine Learning for Dental Image Analysis,tasks sorting using methods  pose refine
594,"It is often the case that, within an online recommender system, multiple
users share a common account. Can such shared accounts be identified solely on
the basis of the userprovided ratings? Once a shared account is identified, can
the different users sharing it be identified as well? Whenever such user
identification is feasible, it opens the way to possible improvements in
personalized recommendations, but also raises privacy concerns. We develop a
model for composite accounts based on unions of linear subspaces, and use
subspace clustering for carrying out the identification task. We show that a
significant fraction of such accounts is identifiable in a reliable manner, and
illustrate potential uses for personalized recommendation.","Guess Who Rated This Movie: Identifying Users Through Subspace
  Clustering",meaningful facial the
595,"In this position paper we present a novel approach to neurobiologically
plausible implementation of emotional reactions and behaviors for real-time
autonomous robotic systems. The working metaphor we use is the ""day"" and
""night"" phases of mammalian life. During the ""day"" phase a robotic system
stores the inbound information and is controlled by a light-weight rule-based
system in real time. In contrast to that, during the ""night"" phase the stored
information is been transferred to the supercomputing system to update the
realistic neural network: emotional and behavioral strategies.",Robot Dream,results  non stationary show manner data 
596,"We try a conceptual analysis of inheritance diagrams, first in abstract
terms, and then compare to ""normality"" and the ""small/big sets"" of preferential
and related reasoning. The main ideas are about nodes as truth values and
information sources, truth comparison by paths, accessibility or relevance of
information by paths, relative normality, and prototypical reasoning.",Remarks on Inheritance Systems,<unk> <unk> <unk>
597,"Generating diverse questions for given images is an important task for
computational education, entertainment and AI assistants. Different from many
conventional prediction techniques is the need for algorithms to generate a
diverse set of plausible questions, which we refer to as ""creativity"". In this
paper we propose a creative algorithm for visual question generation which
combines the advantages of variational autoencoders with long short-term memory
networks. We demonstrate that our framework is able to generate a large set of
varying questions given a single input image.",Creativity: Generating Diverse Questions using Variational Autoencoders,studied model data potential state two
598,"In this paper, we present a novel approach for initializing deep neural
networks, i.e., by turning PCA into neural layers. Usually, the initialization
of the weights of a deep neural network is done in one of the three following
ways: 1) with random values, 2) layer-wise, usually as Deep Belief Network or
as auto-encoder, and 3) re-use of layers from another network (transfer
learning). Therefore, typically, many training epochs are needed before
meaningful weights are learned, or a rather similar dataset is required for
seeding a fine-tuning of transfer learning. In this paper, we describe how to
turn a PCA into an auto-encoder, by generating an encoder layer of the PCA
parameters and furthermore adding a decoding layer. We analyze the
initialization technique on real documents. First, we show that a PCA-based
initialization is quick and leads to a very stable initialization. Furthermore,
for the task of layout analysis we investigate the effectiveness of PCA-based
initialization and show that it outperforms state-of-the-art random weight
initialization methods.",PCA-Initialized Deep Neural Networks Applied To Document Image Analysis,textual model <unk> combined
599,"Due to the lack of information such as the space environment condition and
resident space objects' (RSOs') body characteristics, current orbit predictions
that are solely grounded on physics-based models may fail to achieve required
accuracy for collision avoidance and have led to satellite collisions already.
This paper presents a methodology to predict RSOs' trajectories with higher
accuracy than that of the current methods. Inspired by the machine learning
(ML) theory through which the models are learned based on large amounts of
observed data and the prediction is conducted without explicitly modeling space
objects and space environment, the proposed ML approach integrates
physics-based orbit prediction algorithms with a learning-based process that
focuses on reducing the prediction errors. Using a simulation-based space
catalog environment as the test bed, the paper demonstrates three types of
generalization capability for the proposed ML approach: 1) the ML model can be
used to improve the same RSO's orbit information that is not available during
the learning process but shares the same time interval as the training data; 2)
the ML model can be used to improve predictions of the same RSO at future
epochs; and 3) the ML model based on a RSO can be applied to other RSOs that
share some common features.",Improving Orbit Prediction Accuracy through Supervised Machine Learning,along test #  video models
600,"We bound the future loss when predicting any (computably) stochastic sequence
online. Solomonoff finitely bounded the total deviation of his universal
predictor $M$ from the true distribution $mu$ by the algorithmic complexity of
$mu$. Here we assume we are at a time $t>1$ and already observed $x=x_1...x_t$.
We bound the future prediction performance on $x_{t+1}x_{t+2}...$ by a new
variant of algorithmic complexity of $mu$ given $x$, plus the complexity of the
randomness deficiency of $x$. The new complexity is monotone in its condition
in the sense that this complexity can only decrease if the condition is
prolonged. We also briefly discuss potential generalizations to Bayesian model
classes and to classification problems.",Algorithmic Complexity Bounds on Future Prediction Errors,kernel almost model <unk> using
601,"We propose a new approach for editing face images, which enables numerous
exciting applications including face relighting, makeup transfer and face
detail editing. Our face edits are based on a visual representation, which
includes geometry, face segmentation, albedo, illumination and detail map. To
recover our visual representation, we start by estimating geometry using a
morphable face model, then decompose the face image to recover the albedo, and
then shade the geometry with the albedo and illumination. The residual between
our shaded geometry and the input image produces our detail map, which carries
high frequency information that is either insufficiently or incorrectly
captured by our shading process. By manipulating the detail map, we can edit
face images with reality and identity preserved. Our representation allows
various applications. First, it allows a user to directly manipulate various
illumination. Second, it allows non-parametric makeup transfer with input
face's distinctive identity features preserved. Third, it allows non-parametric
modifications to the face appearance by transferring details. For face
relighting and detail editing, we evaluate via a user study and our method
outperforms other methods. For makeup transfer, we evaluate via an online
attractiveness evaluation system, and can reliably make people look younger and
more attractive. We also show extensive qualitative comparisons to existing
methods, and have significant improvements over previous techniques.",A Visual Representation for Editing Face Images,role demonstrate show
602,"Distributed training of deep neural networks has received significant
research interest, and its major approaches include implementations on multiple
GPUs and clusters. Parallelization can dramatically improve the efficiency of
training deep and complicated models with large-scale data. A fundamental
barrier against the speedup of DNN training, however, is the trade-off between
computation and communication time. In other words, increasing the number of
worker nodes decreases the time consumed in computation while simultaneously
increasing communication overhead under constrained network bandwidth,
especially in commodity hardware environments. To alleviate this trade-off, we
suggest the idea of homomorphic parameter compression, which compresses
parameters with the least expense and trains the DNN with the compressed
representation. Although the specific method is yet to be discovered, we
demonstrate that there is a high probability that the homomorphism can reduce
the communication overhead, thanks to little compression and decompression
times. We also provide theoretical speedup of homomorphic compression.",Homomorphic Parameter Compression for Distributed Deep Learning Training,networks based function  units two
603,"We consider the traffic data reconstruction problem. Suppose we have the
traffic data of an entire city that are incomplete because some road data are
unobserved. The problem is to reconstruct the unobserved parts of the data. In
this paper, we propose a new method to reconstruct incomplete traffic data
collected from various traffic sensors. Our approach is based on Markov random
field modeling of road traffic. The reconstruction is achieved by using
mean-field method and a machine learning method. We numerically verify the
performance of our method using realistic simulated traffic data for the real
road network of Sendai, Japan.",Traffic data reconstruction based on Markov random field modeling,complexity two uses proposed units function 
604,"Narrative intelligence is the ability to craft, tell, understand, and respond
affectively to stories. We argue that instilling artificial intelligences with
computational narrative intelligence affords a number of applications
beneficial to humans. We lay out some of the machine learning challenges
necessary to solve to achieve computational narrative intelligence. Finally, we
argue that computational narrative is a practical step towards machine
enculturation, the teaching of sociocultural values to machines.","Computational Narrative Intelligence: A Human-Centered Goal for
  Artificial Intelligence",model show distribution sparse applications 
605,"It is known that the majority of the human genome consists of repeated
sequences. Furthermore, it is believed that a significant part of the rest of
the genome also originated from repeated sequences and has mutated to its
current form. In this paper, we investigate the possibility of constructing an
exponentially large number of sequences from a short initial sequence and
simple replication rules, including those resembling genomic replication
processes. In other words, our goal is to find out the capacity, or the
expressive power, of these string-replication systems. Our results include
exact capacities, and bounds on the capacities, of four fundamental
string-replication systems.",The Capacity of String-Replication Systems,online model <unk> regression  networks
606,"We propose a simple two-step approach for speeding up convolution layers
within large convolutional neural networks based on tensor decomposition and
discriminative fine-tuning. Given a layer, we use non-linear least squares to
compute a low-rank CP-decomposition of the 4D convolution kernel tensor into a
sum of a small number of rank-one tensors. At the second step, this
decomposition is used to replace the original convolutional layer with a
sequence of four convolutional layers with small kernels. After such
replacement, the entire network is fine-tuned on the training data using
standard backpropagation process.
  We evaluate this approach on two CNNs and show that it is competitive with
previous approaches, leading to higher obtained CPU speedups at the cost of
lower accuracy drops for the smaller of the two networks. Thus, for the
36-class character classification CNN, our approach obtains a 8.5x CPU speedup
of the whole network with only minor accuracy drop (1% from 91% to 90%). For
the standard ImageNet architecture (AlexNet), the approach speeds up the second
convolution layer by a factor of 4x at the cost of $1\%$ increase of the
overall top-5 classification error.","Speeding-up Convolutional Neural Networks Using Fine-tuned
  CP-Decomposition",using significant simple show least image <unk>
607,"Metric learning has been shown to be highly effective to improve the
performance of nearest neighbor classification. In this paper, we address the
problem of metric learning for Symmetric Positive Definite (SPD) matrices such
as covariance matrices, which arise in many real-world applications. Naively
using standard Mahalanobis metric learning methods under the Euclidean geometry
for SPD matrices is not appropriate, because the difference of SPD matrices can
be a non-SPD matrix and thus the obtained solution can be uninterpretable. To
cope with this problem, we propose to use a properly parameterized LogEuclidean
distance and optimize the metric with respect to kernel-target alignment, which
is a supervised criterion for kernel learning. Then the resulting non-trivial
optimization problem is solved by utilizing the Riemannian geometry. Finally,
we experimentally demonstrate the usefulness of our LogEuclidean metric
learning algorithm on real-world classification tasks for EEG signals and
texture patches.","Supervised LogEuclidean Metric Learning for Symmetric Positive Definite
  Matrices",potential forward method open best model networks
608,"Melanoma is the deadliest form of skin cancer. Computer systems can assist in
melanoma detection, but are not widespread in clinical practice. In 2016, an
open challenge in classification of dermoscopic images of skin lesions was
announced. A training set of 900 images with corresponding class labels and
semi-automatic/manual segmentation masks was released for the challenge. An
independent test set of 379 images was used to rank the participants. This
article demonstrates the impact of ranking criteria, segmentation method and
classifier, and highlights the clinical perspective. We compare five different
measures for diagnostic accuracy by analysing the resulting ranking of the
computer systems in the challenge. Choice of performance measure had great
impact on the ranking. Systems that were ranked among the top three for one
measure, dropped to the bottom half when changing performance measure. Nevus
Doctor, a computer system previously developed by the authors, was used to
investigate the impact of segmentation and classifier. The unexpected small
impact of automatic versus semi-automatic/manual segmentation suggests that
improvements of the automatic segmentation method w.r.t. resemblance to
semi-automatic/manual segmentation will not improve diagnostic accuracy
substantially. A small set of similar classification algorithms are used to
investigate the impact of classifier on the diagnostic accuracy. The
variability in diagnostic accuracy for different classifier algorithms was
larger than the variability for segmentation methods, and suggests a focus for
future investigations. From a clinical perspective, the misclassification of a
melanoma as benign has far greater cost than the misclassification of a benign
lesion. For computer systems to have clinical impact, their performance should
be ranked by a high-sensitivity measure.","Comparison of computer systems and ranking criteria for automatic
  melanoma detection in dermoscopic images",linear model <unk> <unk> different <unk> linear
609,"This article presents a mathematical framework to simultaneously tackle the
problems of 3D reconstruction, pose estimation and object classification, from
a single 2D image. In sharp contrast with state of the art methods that rely
primarily on 2D information and solve each of these three problems separately
or iteratively, we propose a mathematical framework that incorporates prior
""knowledge"" about the 3D shapes of different object classes and solves these
problems jointly and simultaneously, using a hypothesize-and-bound (H&B)
algorithm. In the proposed H&B algorithm one hypothesis is defined for each
possible pair [object class, object pose], and the algorithm selects the
hypothesis H that maximizes a function L(H) encoding how well each hypothesis
""explains"" the input image. To find this maximum efficiently, the function L(H)
is not evaluated exactly for each hypothesis H, but rather upper and lower
bounds for it are computed at a much lower cost. In order to obtain bounds for
L(H) that are tight yet inexpensive to compute, we extend the theory of shapes
described in [14] to handle projections of shapes. This extension allows us to
define a probabilistic relationship between the prior knowledge given in 3D and
the 2D input image. This relationship is derived from first principles and is
proven to be the only relationship having the properties that we intuitively
expect from a ""projection."" In addition to the efficiency and optimality
characteristics of H&B algorithms, the proposed framework has the desirable
property of integrating information in the 2D image with information in the 3D
prior to estimate the optimal reconstruction. While this article focuses
primarily on the problem mentioned above, we believe that the theory presented
herein has multiple other potential applications.","Hypothesize and Bound: A Computational Focus of Attention Mechanism for
  Simultaneous 3D Shape Reconstruction, Pose Estimation and Classification from
  a Single 2D Image",programming both we cross correlation data <unk> number
610,"Filters in a Convolutional Neural Network (CNN) contain model parameters
learned from enormous amounts of data. In this paper, we suggest to decompose
convolutional filters in CNN as a truncated expansion with pre-fixed bases,
namely the Decomposed Convolutional Filters network (DCFNet), where the
expansion coefficients remain learned from data. Such a structure not only
reduces the number of trainable parameters and computation, but also imposes
filter regularity by bases truncation. Through extensive experiments, we
consistently observe that DCFNet maintains accuracy for image classification
tasks with a significant reduction of model parameters, particularly with
Fourier-Bessel (FB) bases, and even with random bases. Theoretically, we
analyze the representation stability of DCFNet with respect to input
variations, and prove representation stability under generic assumptions on the
expansion coefficients. The analysis is consistent with the empirical
observations.",DCFNet: Deep Neural Network with Decomposed Convolutional Filters,around model kernel <unk> index
611,"Subset selection from massive data with noised information is increasingly
popular for various applications. This problem is still highly challenging as
current methods are generally slow in speed and sensitive to outliers. To
address the above two issues, we propose an accelerated robust subset selection
(ARSS) method. Specifically in the subset selection area, this is the first
attempt to employ the $\ell_{p}(0<p\leq1)$-norm based measure for the
representation loss, preventing large errors from dominating our objective. As
a result, the robustness against outlier elements is greatly enhanced.
Actually, data size is generally much larger than feature length, i.e. $N\gg
L$. Based on this observation, we propose a speedup solver (via ALM and
equivalent derivations) to highly reduce the computational cost, theoretically
from $O(N^{4})$ to $O(N{}^{2}L)$. Extensive experiments on ten benchmark
datasets verify that our method not only outperforms state of the art methods,
but also runs 10,000+ times faster than the most related method.","10,000+ Times Accelerated Robust Subset Selection (ARSS)",unsupervised show show preferences
612,"A large set of signals can sometimes be described sparsely using a
dictionary, that is, every element can be represented as a linear combination
of few elements from the dictionary. Algorithms for various signal processing
applications, including classification, denoising and signal separation, learn
a dictionary from a set of signals to be represented. Can we expect that the
representation found by such a dictionary for a previously unseen example from
the same source will have L_2 error of the same magnitude as those for the
given examples? We assume signals are generated from a fixed distribution, and
study this questions from a statistical learning theory perspective.
  We develop generalization bounds on the quality of the learned dictionary for
two types of constraints on the coefficient selection, as measured by the
expected L_2 error in representation when the dictionary is used. For the case
of l_1 regularized coefficient selection we provide a generalization bound of
the order of O(sqrt(np log(m lambda)/m)), where n is the dimension, p is the
number of elements in the dictionary, lambda is a bound on the l_1 norm of the
coefficient vector and m is the number of samples, which complements existing
results. For the case of representing a new signal as a combination of at most
k dictionary elements, we provide a bound of the order O(sqrt(np log(m k)/m))
under an assumption on the level of orthogonality of the dictionary (low Babel
function). We further show that this assumption holds for most dictionaries in
high dimensions in a strong probabilistic sense. Our results further yield fast
rates of order 1/m as opposed to 1/sqrt(m) using localized Rademacher
complexity. We provide similar results in a general setting using kernels with
weak smoothness requirements.",The Sample Complexity of Dictionary Learning,video various show reverse using states search
613,"Word similarities affect language acquisition and use in a multi-relational
way barely accounted for in the literature. We propose a multiplex network
representation of this mental lexicon of word similarities as a natural
framework for investigating large-scale cognitive patterns. Our representation
accounts for semantic, taxonomic, and phonological interactions and it
identifies a cluster of words which are used with greater frequency, are
identified, memorised, and learned more easily, and have more meanings than
expected at random. This cluster emerges around age 7 through an explosive
transition not reproduced by null models. We relate this explosive emergence to
polysemy -- redundancy in word meanings. Results indicate that the word cluster
acts as a core for the lexicon, increasing both lexical navigability and
robustness to linguistic degradation. Our findings provide quantitative
confirmation of existing conjectures about core structure in the mental lexicon
and the importance of integrating multi-relational word-word interactions in
psycholinguistic frameworks.",Multiplex model of mental lexicon reveals explosive learning in humans,word paper 
614,"We propose an extension of Stabler's version of clitics treatment for a wider
coverage of the French language. For this, we present the lexical entries
needed in the lexicon. Then, we show the recognition of complex syntactic
phenomena as (left and right) dislo- cation, clitic climbing over modal and
extraction from determiner phrase. The aim of this presentation is the
syntax-semantic interface for clitics analyses in which we will stress on
clitic climbing over verb and raising verb.",Treating clitics with minimalist grammars,using <unk> various public show distributions events 
615,"This paper considers multiprocessor task scheduling in a multistage hybrid
flow-shop environment. The problem even in its simplest form is NP-hard in the
strong sense. The great deal of interest for this problem, besides its
theoretical complexity, is animated by needs of various manufacturing and
computing systems. We propose a new approach based on limited discrepancy
search to solve the problem. Our method is tested with reference to a proposed
lower bound as well as the best-known solutions in literature. Computational
results show that the developed approach is efficient in particular for
large-size problems.","Climbing depth-bounded adjacent discrepancy search for solving hybrid
  flow shop scheduling problems with multiprocessor tasks",model <unk> discuss set method
616,"A recent framework of relativized hyperequivalence of programs offers a
unifying generalization of strong and uniform equivalence. It seems to be
especially well suited for applications in program optimization and modular
programming due to its flexibility that allows us to restrict, independently of
each other, the head and body alphabets in context programs. We study
relativized hyperequivalence for the three semantics of logic programs given by
stable, supported and supported minimal models. For each semantics, we identify
four types of contexts, depending on whether the head and body alphabets are
given directly or as the complement of a given set. Hyperequivalence relative
to contexts where the head and body alphabets are specified directly has been
studied before. In this paper, we establish the complexity of deciding
relativized hyperequivalence with respect to the three other types of context
programs.
  To appear in Theory and Practice of Logic Programming (TPLP).",Relativized hyperequivalence of logic programs for modular programming,however  complexity for show explain inference
617,"Given a training set with binary classification, the Support Vector Machine
identifies the hyperplane maximizing the margin between the two classes of
training data. This general formulation is useful in that it can be applied
without regard to variance differences between the classes. Ignoring these
differences is not optimal, however, as the general SVM will give the class
with lower variance an unjustifiably wide berth. This increases the chance of
misclassification of the other class and results in an overall loss of
predictive performance. An alternate construction is proposed in which the
margins of the separating hyperplane are different for each class, each
proportional to the standard deviation of its class along the direction
perpendicular to the hyperplane. The construction agrees with the SVM in the
case of equal class variances. This paper will then examine the impact to the
dual representation of the modified constraint equations.","A Modified Construction for a Support Vector Classifier to Accommodate
  Class Imbalances",estimate model video prove different different architectures  traditional
618,"Style-transfer is a process of migrating a style from a given image to the
content of another, synthesizing a new image which is an artistic mixture of
the two. Recent work on this problem adopting Convolutional Neural-networks
(CNN) ignited a renewed interest in this field, due to the very impressive
results obtained. There exists an alternative path towards handling the
style-transfer task, via generalization of texture-synthesis algorithms. This
approach has been proposed over the years, but its results are typically less
impressive compared to the CNN ones.
  In this work we propose a novel style-transfer algorithm that extends the
texture-synthesis work of Kwatra et. al. (2005), while aiming to get stylized
images that get closer in quality to the CNN ones. We modify Kwatra's algorithm
in several key ways in order to achieve the desired transfer, with emphasis on
a consistent way for keeping the content intact in selected regions, while
producing hallucinated and rich style in others. The results obtained are
visually pleasing and diverse, shown to be competitive with the recent CNN
style-transfer algorithms. The proposed algorithm is fast and flexible, being
able to process any pair of content + style images.",Style-Transfer via Texture-Synthesis,proposed <unk> research paper  system proposed account generate
619,"Current research in Computer Vision has shown that Convolutional Neural
Networks (CNN) give state-of-the-art performance in many classification tasks
and Computer Vision problems. The embedding of CNN, which is the internal
representation produced by the last layer, can indirectly learn topological and
relational properties. Moreover, by using a suitable loss function, CNN models
can learn invariance to a wide range of non-linear distortions such as
rotation, viewpoint angle or lighting condition. In this work, new insights are
discovered about CNN embeddings and a new loss function is proposed, derived
from the contrastive loss, that creates models with more predicable mappings
and also quantifies distortions. In typical distortion-dependent methods, there
is no simple relation between the features corresponding to one image and the
features of this image distorted. Therefore, these methods require to
feed-forward inputs under every distortions in order to find the corresponding
features representations. Our contribution makes a step towards embeddings
where features of distorted inputs are related and can be derived from each
others by the intensity of the distortion.",Towards Distortion-Predictable Embedding of Neural Networks,based problem 
620,"Model precision in a classification task is highly dependent on the feature
space that is used to train the model. Moreover, whether the features are
sequential or static will dictate which classification method can be applied as
most of the machine learning algorithms are designed to deal with either one or
another type of data. In real-life scenarios, however, it is often the case
that both static and dynamic features are present, or can be extracted from the
data. In this work, we demonstrate how generative models such as Hidden Markov
Models (HMM) and Long Short-Term Memory (LSTM) artificial neural networks can
be used to extract temporal information from the dynamic data. We explore how
the extracted information can be combined with the static features in order to
improve the classification performance. We evaluate the existing techniques and
suggest a hybrid approach, which outperforms other methods on several public
datasets.","Combining Static and Dynamic Features for Multivariate Sequence
  Classification",inference model achieved
621,"A novel efficient method for computing the Knowledge-Gradient policy for
Continuous Parameters (KGCP) for deterministic optimization is derived. The
differences with Expected Improvement (EI), a popular choice for Bayesian
optimization of deterministic engineering simulations, are explored. Both
policies and the Upper Confidence Bound (UCB) policy are compared on a number
of benchmark functions including a problem from structural dynamics. It is
empirically shown that KGCP has similar performance as the EI policy for many
problems, but has better convergence properties for complex (multi-modal)
optimization problems as it emphasizes more on exploration when the model is
confident about the shape of optimal regions. In addition, the relationship
between Maximum Likelihood Estimation (MLE) and slice sampling for estimation
of the hyperparameters of the underlying models, and the complexity of the
problem at hand, is studied.","Fast Calculation of the Knowledge Gradient for Optimization of
  Deterministic Engineering Simulations",naive show
622,"In this paper, we use a fully convolutional neural network (FCNN) for the
segmentation of gliomas from Magnetic Resonance Images (MRI). A fully
automatic, voxel based classification was achieved by training a 23 layer deep
FCNN on 2-D slices extracted from patient volumes. The network was trained on
slices extracted from 130 patients and validated on 50 patients. For the task
of survival prediction, texture and shape based features were extracted from T1
post contrast volume to train an XGBoost regressor. On BraTS 2017 validation
set, the proposed scheme achieved a mean whole tumor, tumor core and active
dice score of 0.83, 0.69 and 0.69 respectively and an accuracy of 52% for the
overall survival prediction.","Automatic Segmentation and Overall Survival Prediction in Gliomas using
  Fully Convolutional Neural Network and Texture Analysis",bandit show geometry linear
623,"Recently, significant improvement has been made on semantic object
segmentation due to the development of deep convolutional neural networks
(DCNNs). Training such a DCNN usually relies on a large number of images with
pixel-level segmentation masks, and annotating these images is very costly in
terms of both finance and human effort. In this paper, we propose a simple to
complex (STC) framework in which only image-level annotations are utilized to
learn DCNNs for semantic segmentation. Specifically, we first train an initial
segmentation network called Initial-DCNN with the saliency maps of simple
images (i.e., those with a single category of major object(s) and clean
background). These saliency maps can be automatically obtained by existing
bottom-up salient object detection techniques, where no supervision information
is needed. Then, a better network called Enhanced-DCNN is learned with
supervision from the predicted segmentation masks of simple images based on the
Initial-DCNN as well as the image-level annotations. Finally, more pixel-level
segmentation masks of complex images (two or more categories of objects with
cluttered background), which are inferred by using Enhanced-DCNN and
image-level annotations, are utilized as the supervision information to learn
the Powerful-DCNN for semantic segmentation. Our method utilizes $40$K simple
images from Flickr.com and 10K complex images from PASCAL VOC for step-wisely
boosting the segmentation network. Extensive experimental results on PASCAL VOC
2012 segmentation benchmark well demonstrate the superiority of the proposed
STC framework compared with other state-of-the-arts.","STC: A Simple to Complex Framework for Weakly-supervised Semantic
  Segmentation",present both we cross correlation data coordination using preferences
624,"This paper presents the systems developed by LIUM and CVC for the WMT16
Multimodal Machine Translation challenge. We explored various comparative
methods, namely phrase-based systems and attentional recurrent neural networks
models trained using monomodal or multimodal data. We also performed a human
evaluation in order to estimate the usefulness of multimodal data for human
machine translation and image description generation. Our systems obtained the
best results for both tasks according to the automatic evaluation metrics BLEU
and METEOR.","Does Multimodality Help Human and Machine for Translation and Image
  Captioning?",selection shown problem preferences
625,"Motion ability is one of the most important human properties, including gait
as a basis of human transitional movement. Gait, as a biometric for recognizing
human identities, can be non-intrusively captured signals using wearable or
portable smart devices. In this study gait patterns is collected using a
wireless platform of two sensors located at chest and right ankle of the
subjects. Then the raw data has undergone some preprocessing methods and
segmented into 5 seconds windows. Some time and frequency domain features is
extracted and the performance evaluated by 5 different classifiers. Decision
Tree (with all features) and K-Nearest Neighbors (with 10 selected features)
classifiers reached 99.4% and 100% respectively.",Gait Pattern Recognition Using Accelerometers,suggests level the required show input the
626,"Image Classification based on BOW (Bag-of-words) has broad application
prospect in pattern recognition field but the shortcomings are existed because
of single feature and low classification accuracy. To this end we combine three
ingredients: (i) Three features with functions of mutual complementation are
adopted to describe the images, including PHOW (Pyramid Histogram of Words),
PHOC (Pyramid Histogram of Color) and PHOG (Pyramid Histogram of Orientated
Gradients). (ii) The improvement of traditional BOW model is presented by using
dense sample and an improved K-means clustering method for constructing the
visual dictionary. (iii) An adaptive feature-weight adjusted image
categorization algorithm based on the SVM and the fusion of multiple features
is adopted. Experiments carried out on Caltech 101 database confirm the
validity of the proposed approach. From the experimental results can be seen
that the classification accuracy rate of the proposed method is improved by
7%-17% higher than that of the traditional BOW methods. This algorithm makes
full use of global, local and spatial information and has significant
improvements to the classification accuracy.","Image classification based on support vector machine and the fusion of
  complementary features",robotics doors
627,"The League Championship Algorithm (LCA) is sport-inspired optimization
algorithm that was introduced by Ali Husseinzadeh Kashan in the year 2009. It
has since drawn enormous interest among the researchers because of its
potential efficiency in solving many optimization problems and real-world
applications. The LCA has also shown great potentials in solving
non-deterministic polynomial time (NP-complete) problems. This survey presents
a brief synopsis of the LCA literatures in peer-reviewed journals, conferences
and book chapters. These research articles are then categorized according to
indexing in the major academic databases (Web of Science, Scopus, IEEE Xplore
and the Google Scholar). The analysis was also done to explore the prospects
and the challenges of the algorithm and its acceptability among researchers.
This systematic categorization can be used as a basis for future studies.",A Survey of League Championship Algorithm: Prospects and Challenges,studied model units comparing
628,"In this paper, we cast the scribble-based interactive image segmentation as a
semi-supervised learning problem. Our novel approach alleviates the need to
solve an expensive generalized eigenvector problem by approximating the
eigenvectors using efficiently computed eigenfunctions. The smoothness operator
defined on feature densities at the limit n tends to infinity recovers the
exact eigenvectors of the graph Laplacian, where n is the number of nodes in
the graph. To further reduce the computational complexity without scarifying
our accuracy, we select pivots pixels from user annotations. In our
experiments, we evaluate our approach using both human scribble and ""robot
user"" annotations to guide the foreground/background segmentation. We developed
a new unbiased collection of five annotated images datasets to standardize the
evaluation procedure for any scribble-based segmentation method. We
experimented with several variations, including different feature vectors,
pivot count and the number of eigenvectors. Experiments are carried out on
datasets that contain a wide variety of natural images. We achieve better
qualitative and quantitative results compared to state-of-the-art interactive
segmentation algorithms.","Seeded Laplaican: An Eigenfunction Solution for Scribble Based
  Interactive Image Segmentation",using conditional feature models show significant packing approaches
629,"We consider a non-stationary formulation of the stochastic multi-armed bandit
where the rewards are no longer assumed to be identically distributed. For the
best-arm identification task, we introduce a version of Successive Elimination
based on random shuffling of the $K$ arms. We prove that under a novel and mild
assumption on the mean gap $\Delta$, this simple but powerful modification
achieves the same guarantees in term of sample complexity and cumulative regret
than its original version, but in a much wider class of problems, as it is not
anymore constrained to stationary distributions. We also show that the original
{\sc Successive Elimination} fails to have controlled regret in this more
general scenario, thus showing the benefit of shuffling. We then remove our
mild assumption and adapt the algorithm to the best-arm identification task
with switching arms. We adapt the definition of the sample complexity for that
case and prove that, against an optimal policy with $N-1$ switches of the
optimal arm, this new algorithm achieves an expected sample complexity of
$O(\Delta^{-2}\sqrt{NK\delta^{-1} \log(K \delta^{-1})})$, where $\delta$ is the
probability of failure of the algorithm, and an expected cumulative regret of
$O(\Delta^{-1}{\sqrt{NTK \log (TK)}})$ after $T$ time steps.","Random Shuffling and Resets for the Non-stationary Stochastic Bandit
  Problem",using complexity show show significant significant model explain
630,"In recent years, the use of machine learning classifiers is of great value in
solving a variety of problems in text classification. Sentiment mining is a
kind of text classification in which, messages are classified according to
sentiment orientation such as positive or negative. This paper extends the idea
of evaluating the performance of various classifiers to show their
effectiveness in sentiment mining of online product reviews. The product
reviews are collected from Amazon reviews. To evaluate the performance of
classifiers various evaluation methods like random sampling, linear sampling
and bootstrap sampling are used. Our results shows that support vector machine
with bootstrap sampling method outperforms others classifiers and sampling
methods in terms of misclassification rate.","Performance Evaluation of Machine Learning Classifiers in Sentiment
  Mining",<unk> show made search
